Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
POLITIKER,9356,60,78,49,1.6025641025641026,English,Large,0.8613861386138614
BEHÖRDE,9356,70,37,17,1.5135135135135136,English,Large,0.7307692307692308
JOURNALIST,9356,70,0,0,0.0,English,Large,0.0
MEDIEN,9356,70,1,1,2.0,English,Large,0.0
PARTEI,9356,70,9,5,1.2222222222222223,English,Large,0.7692307692307693
POLITIKER,9356,70,89,53,1.595505617977528,English,Large,0.8682926829268293
BEHÖRDE,9356,80,45,20,1.511111111111111,English,Large,0.6915887850467289
JOURNALIST,9356,80,0,0,0.0,English,Large,0.0
MEDIEN,9356,80,1,1,2.0,English,Large,0.0
PARTEI,9356,80,12,7,1.3333333333333333,English,Large,0.6428571428571429
POLITIKER,9356,80,110,64,1.6,English,Large,0.8613861386138614
BEHÖRDE,9356,90,47,21,1.5319148936170213,English,Large,0.7128712871287128
JOURNALIST,9356,90,0,0,0.0,English,Large,0.0
MEDIEN,9356,90,1,1,2.0,English,Large,0.0
PARTEI,9356,90,14,8,1.2857142857142858,English,Large,0.5833333333333334
POLITIKER,9356,90,125,67,1.6,English,Large,0.864321608040201
BEHÖRDE,9356,100,52,21,1.4807692307692308,English,Large,0.7326732673267328
JOURNALIST,9356,100,0,0,0.0,English,Large,0.0
MEDIEN,9356,100,2,2,3.0,English,Large,0.0
PARTEI,9356,100,16,10,1.5,English,Large,0.6666666666666667
POLITIKER,9356,100,131,67,1.5877862595419847,English,Large,0.8712871287128714
BEHÖRDE,9356,110,56,21,1.4642857142857142,English,Large,0.7547169811320754
JOURNALIST,9356,110,0,0,0.0,English,Large,0.0
MEDIEN,9356,110,2,2,3.0,English,Large,0.0
PARTEI,9356,110,17,10,1.4705882352941178,English,Large,0.64
POLITIKER,9356,110,141,72,1.6028368794326242,English,Large,0.8627450980392156
BEHÖRDE,9356,120,60,21,1.45,English,Large,0.7128712871287128
JOURNALIST,9356,120,0,0,0.0,English,Large,0.0
MEDIEN,9356,120,2,2,3.0,English,Large,0.0
PARTEI,9356,120,19,12,1.4210526315789473,English,Large,0.7857142857142856
POLITIKER,9356,120,151,74,1.6158940397350994,English,Large,0.8730964467005077
BEHÖRDE,9356,130,68,21,1.411764705882353,English,Large,0.7272727272727272
JOURNALIST,9356,130,0,0,0.0,English,Large,0.0
MEDIEN,9356,130,2,2,3.0,English,Large,0.0
PARTEI,9356,130,23,14,1.391304347826087,English,Large,0.8275862068965517
POLITIKER,9356,130,164,78,1.6097560975609757,English,Large,0.8682926829268293
BEHÖRDE,9356,140,76,21,1.4342105263157894,English,Large,0.7663551401869159
JOURNALIST,9356,140,0,0,0.0,English,Large,0.0
MEDIEN,9356,140,2,2,3.0,English,Large,0.0
PARTEI,9356,140,25,14,1.36,English,Large,0.7857142857142856
POLITIKER,9356,140,173,83,1.6011560693641618,English,Large,0.8712871287128714
BEHÖRDE,9356,150,79,21,1.4303797468354431,English,Large,0.7272727272727272
JOURNALIST,9356,150,0,0,0.0,English,Large,0.0
MEDIEN,9356,150,2,2,3.0,English,Large,0.0
PARTEI,9356,150,28,16,1.3214285714285714,English,Large,0.8799999999999999
POLITIKER,9356,150,186,90,1.6021505376344085,English,Large,0.8725490196078431
BEHÖRDE,9356,157,81,22,1.4691358024691359,English,Large,0.7474747474747474
JOURNALIST,9356,157,0,0,0.0,English,Large,0.0
MEDIEN,9356,157,2,2,3.0,English,Large,0.0
PARTEI,9356,157,28,16,1.3214285714285714,English,Large,0.8148148148148148
POLITIKER,9356,157,199,97,1.5979899497487438,English,Large,0.8780487804878048
